T,Cp,Cv,k,mu,lambda,Pr,nu,rho
(deg C),(kJ/kg K),(kJ/kg K),-,(Pa s),(kW/m K),-,m2 s-1,(kg m-3)
-98.15,1.0023,0.7152,1.401,1.182E-5,1.593,0.744,5.860E-6,2.017
-73.15,1.0025,0.7154,1.401,1.329E-5,1.809,0.736,7.530E-6,1.765
-48.15,1.0027,0.7156,1.401,1.467E-5,2.02,0.728,9.350E-6,1.569
-23.15,1.0031,0.716,1.401,1.599E-5,2.227,0.72,1.132E-5,1.412
1.85,1.0038,0.7167,1.401,1.725E-5,2.428,0.713,1.343E-5,1.284
26.85,1.0049,0.7178,1.4,1.846E-5,2.624,0.707,1.568E-5,1.177
51.85,1.0063,0.7192,1.4,1.962E-5,2.816,0.701,1.807E-5,1.086
76.85,1.0082,0.7211,1.398,2.075E-5,3.003,0.697,2.056E-5,1.009
101.85,1.0106,0.7235,1.397,2.181E-5,3.186,0.692,2.317E-5,0.9413
126.85,1.0135,0.7264,1.395,2.286E-5,3.365,0.688,2.591E-5,0.8824
176.85,1.0206,0.7335,1.391,2.485E-5,3.71,0.684,3.168E-5,0.7844
226.85,1.0295,0.7424,1.387,2.670E-5,4.041,0.68,3.782E-5,0.706
276.85,1.0398,0.7527,1.381,2.849E-5,4.357,0.68,4.439E-5,0.6418
326.85,1.0511,0.764,1.376,3.017E-5,4.661,0.68,5.128E-5,0.5883
376.85,1.0629,0.7758,1.37,3.178E-5,4.954,0.682,5.853E-5,0.543
426.85,1.075,0.7879,1.364,3.332E-5,5.236,0.684,6.607E-5,0.5043
476.85,1.087,0.7999,1.359,3.482E-5,5.509,0.687,7.399E-5,0.4706
526.85,1.0987,0.8116,1.354,3.624E-5,5.774,0.69,8.214E-5,0.4412
576.85,1.1101,0.823,1.349,3.763E-5,6.03,0.693,9.061E-5,0.4153
626.85,1.1209,0.8338,1.344,3.897E-5,6.276,0.696,9.936E-5,0.3922
676.85,1.1313,0.8442,1.34,4.026E-5,6.52,0.699,1.083E-4,0.3716
726.85,1.1411,0.854,1.336,4.153E-5,6.754,0.702,1.176E-4,0.353
776.85,1.1502,0.8631,1.333,4.276E-5,6.985,0.704,1.272E-4,0.3362
826.85,1.1589,0.8718,1.329,4.396E-5,7.209,0.707,1.370E-4,0.3209
876.85,1.167,0.8799,1.326,4.511E-5,7.427,0.709,1.470E-4,0.3069
926.85,1.1746,0.8875,1.323,4.626E-5,7.64,0.711,1.573E-4,0.2941
976.85,1.1817,0.8946,1.321,4.736E-5,7.849,0.713,1.677E-4,0.2824
1026.85,1.1884,0.9013,1.319,4.846E-5,8.054,0.715,1.785E-4,0.2715
1076.85,1.1946,0.9075,1.316,4.952E-5,8.253,0.717,1.894E-4,0.2615
1126.85,1.2005,0.9134,1.314,5.057E-5,8.45,0.719,2.006E-4,0.2521
1226.85,1.2112,0.9241,1.311,5.264E-5,8.831,0.722,2.236E-4,0.2353
1326.85,1.2207,0.9336,1.308,5.457E-5,9.199,0.724,2.474E-4,0.2206
1426.85,1.2293,0.9422,1.305,5.646E-5,9.554,0.726,2.720E-4,0.2076
1526.85,1.237,0.9499,1.302,5.829E-5,9.899,0.728,2.972E-4,0.1961
1626.85,1.244,0.9569,1.3,6.008E-5,10.233,0.73,3.234E-4,0.1858

