T,rho,mu,nu,pSat
(deg C),(kg m-3),(Pa s),(m2 s-1),(MPa)
1,1028.0941,0.001843,1.79E-006,6.44E-004
2,1028.0197,0.001783,1.73E-006,6.92E-004
3,1027.9327,0.001726,1.68E-006,7.43E-004
4,1027.8336,0.001671,1.63E-006,7.97E-004
5,1027.7225,0.00162,1.58E-006,8.55E-004
6,1027.6,0.001571,1.53E-006,9.16E-004
7,1027.4662,0.001524,1.48E-006,9.82E-004
8,1027.3214,0.00148,1.44E-006,1.05E-003
9,1027.1659,0.001438,1.40E-006,1.12E-003
10,1027,0.001397,1.36E-006,1.20E-003
11,1026.8238,0.001359,1.32E-006,1.29E-003
12,1026.6376,0.001322,1.29E-006,1.37E-003
13,1026.4416,0.001286,1.25E-006,1.47E-003
14,1026.236,0.001252,1.22E-006,1.57E-003
15,1026.021,0.00122,1.19E-006,1.67E-003
16,1025.7967,0.001189,1.16E-006,1.78E-003
17,1025.5633,0.001159,1.13E-006,1.90E-003
18,1025.321,0.001131,1.10E-006,2.02E-003
19,1025.07,0.001103,1.08E-006,2.15E-003
20,1024.8103,0.001077,1.05E-006,2.29E-003
21,1024.5421,0.001051,1.03E-006,2.44E-003
22,1024.2656,0.001027,1.00E-006,2.59E-003
23,1023.9808,0.001004,9.80E-007,2.75E-003
24,1023.6881,0.000981,9.58E-007,2.92E-003
25,1023.3873,0.000959,9.37E-007,3.11E-003
26,1023.0788,0.000938,9.17E-007,3.30E-003
27,1022.7626,0.000918,8.97E-007,3.50E-003
28,1022.4389,0.000898,8.78E-007,3.71E-003
29,1022.1078,0.000879,8.60E-007,3.93E-003
30,1021.7694,0.000861,8.43E-007,4.16E-003

