T,rho,mu,nu,pSat
(deg C),(kg m-3),(Pa s),(m2 s-1),(MPa)
10,999.7025,0.001306,1.31E-006,1.23E-003
11,999.6079,0.001269,1.27E-006,1.31E-003
12,999.5004,0.001234,1.23E-006,1.40E-003
13,999.3801,0.0012,1.20E-006,1.50E-003
14,999.2474,0.001168,1.17E-006,1.60E-003
15,999.1026,0.001138,1.14E-006,1.71E-003
16,998.9461,0.001108,1.11E-006,1.82E-003
17,998.778,0.00108,1.08E-006,1.94E-003
18,998.5986,0.001053,1.05E-006,2.06E-003
19,998.4083,0.001027,1.03E-006,2.20E-003
20,998.2072,0.001002,1.00E-006,2.34E-003
21,997.9955,0.000978,9.80E-007,2.49E-003
22,997.7735,0.000954,9.57E-007,2.65E-003
23,997.5414,0.000932,9.34E-007,2.81E-003
24,997.2994,0.000911,9.13E-007,2.99E-003
25,997.0476,0.00089,8.93E-007,3.17E-003
26,996.7864,0.00087,8.73E-007,3.36E-003
27,996.5158,0.000851,8.54E-007,3.57E-003
28,996.236,0.000832,8.36E-007,3.78E-003
29,995.9471,0.000814,8.18E-007,4.01E-003
30,995.6495,0.000797,8.01E-007,4.25E-003
31,995.3431,0.000781,7.84E-007,4.50E-003
32,995.0281,0.000764,7.68E-007,4.76E-003
33,994.7048,0.000749,7.53E-007,5.04E-003
34,994.3731,0.000734,7.38E-007,5.33E-003
35,994.0333,0.000719,7.23E-007,5.63E-003
36,993.6855,0.000705,7.09E-007,5.95E-003
37,993.3298,0.000691,6.96E-007,6.28E-003
38,992.9663,0.000678,6.83E-007,6.63E-003
39,992.5951,0.000665,6.70E-007,7.00E-003
40,992.2164,0.000653,6.58E-007,7.38E-003

